,location_id,rank,true product,true product's sales,predicted product,predicted product's true sales,predicted product's true rank
0,"""01aa6102-a054-4f25-a747-a39a4ea86769""",1,Lofnac Tablets x10,40.0,Calcimax Tablets x30,,
1,"""01aa6102-a054-4f25-a747-a39a4ea86769""",2,Lofnac Plus Tablets x10,40.0,Fesulf Satchet x100,4.0,53
2,"""01aa6102-a054-4f25-a747-a39a4ea86769""",3,Syrup Paracetamol 125mg/5ml (Emzor),20.0,Lofnac Tablets x10,40.0,1
3,"""01aa6102-a054-4f25-a747-a39a4ea86769""",4,Amalar 500/25mg Tablets x3,20.0,Emzolyn Cough Syrup Child,2.0,91
4,"""01aa6102-a054-4f25-a747-a39a4ea86769""",5,Solotone Tab x30,18.0,Piscof Syrup,3.0,74
5,"""01aa6102-a054-4f25-a747-a39a4ea86769""",6,Vamacap Capsules x20,18.0,Ibucap Forte Capsule x10,10.0,13
6,"""01aa6102-a054-4f25-a747-a39a4ea86769""",7,Tab Paracetamol (M&B) 500mg x96,15.0,Ibucap x20,,
7,"""01aa6102-a054-4f25-a747-a39a4ea86769""",8,Sudrex 500mg/30mg Tablets x20,14.0,Orheptal Tonic 300ml,3.0,70
8,"""01aa6102-a054-4f25-a747-a39a4ea86769""",9,Swidar 500/25mg x3,12.0,Bonababe Syrup,12.0,10
9,"""01aa6102-a054-4f25-a747-a39a4ea86769""",10,Bonababe Syrup,12.0,Vitamin C Syrup ,2.0,106
10,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",1,Ibucap x20,5.0,De-Deon's Syrup 280ml,,
11,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",2,Lofnac Tablets x10,5.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,,
12,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",3,Nutravit Syrup 100ml,5.0,Lonart DS 80/480mg Tablets x6,2.0,15
13,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",4,Chlorpheniramine 10mg/ml Injection x10,5.0,Bunto Blood Caps x100,,
14,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",5,Fleming 1000mg x14,4.0,M&B Paracetamol Syrup 1 X 60ml Bottle,,
15,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",6,Imodium 2mg Capsules x6,4.0,Menthodex Syrup,,
16,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",7,Zentel 200mg Tablets x2,3.0,Neofylin Cough Syrup,,
17,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",8,Woodward's Gripe Water (Big Size) 150ml,3.0,Ciprotab 500mg Tablets x10,,
18,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",9,Actifed Tablets,3.0,Postinor 2,,
19,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",10,Zinnat Tablets 500mg x10,3.0,Amatem 80/480 Softgel x6,,
20,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",1,Gold Circle (Old) x24,79.0,Aboniki Balm,79.0,2
21,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",2,Aboniki Balm,79.0,Em-Vit-C 100ml Syrup,8.0,54
22,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",3,Tab Sudrex 500mg/30mg,61.0,Alabukun (Powder)  - 1x10 Pack,11.0,44
23,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",4,Bonababe Syrup,55.0,Syrup Paracetamol 125mg/5ml (Emzor),19.0,23
24,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",5,Lofnac Tablets x10,50.0,Panadol Extra,10.0,46
25,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",6,Tab Paracetamol (M&B) 500mg x96,49.0,Cream Skineal x15g,12.0,38
26,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",7,NGC Cough Syrup (Adult) x100ml,39.0,Gestid 200ml Suspension,20.0,21
27,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",8,Babyrex Baby Mixture x60ml,32.0,Lonart 20/120mg 60ml Suspension,9.0,51
28,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",9,Coflin Cough Linctus x100ml,31.0,Amatem 80/480 Softgel x6,23.0,16
29,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",10,Visita Plus 30g Cream,29.0,Brustan-N 100mg/5ml Suspension x100ml,23.0,14
30,"""024cb024-0402-491d-aaac-e4b65709725c""",1,Tab Vega 100,70.0,Gestid 200ml Suspension,,
31,"""024cb024-0402-491d-aaac-e4b65709725c""",2,Ors G Oral,56.0,Amatem 80/480 Softgel x6,,
32,"""024cb024-0402-491d-aaac-e4b65709725c""",3,Emzor Paracetamol 500mg Tablets x96,40.0,Brustan-N 100mg/5ml Suspension x100ml,,
33,"""024cb024-0402-491d-aaac-e4b65709725c""",4,Zentel 200mg Tablets x2,40.0,Lonart DS 80/480mg Tablets x6,,
34,"""024cb024-0402-491d-aaac-e4b65709725c""",5,Evan Levofloxacin 500mg Tablets x10,40.0,Coartem 80/480mg Tablets x6,,
35,"""024cb024-0402-491d-aaac-e4b65709725c""",6,Pyrantrin Tablet x6,25.0,Bonababe Syrup,,
36,"""024cb024-0402-491d-aaac-e4b65709725c""",7,Postinor 2,24.0,Pyrantrin Tablet x6,25.0,6
37,"""024cb024-0402-491d-aaac-e4b65709725c""",8,Robb Balm (Bottle),24.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,10.0,23
38,"""024cb024-0402-491d-aaac-e4b65709725c""",9,Em-Vit-C 100ml Syrup,20.0,Camosunate 300mg/100mg (7-13years),10.0,24
39,"""024cb024-0402-491d-aaac-e4b65709725c""",10,Piriton Expectorant Adult,20.0,Zentel 200mg Tablets x2,40.0,4
40,"""024d2bfa-490e-4231-b434-b065c13fb914""",1,Gentamicin Eye/Ear Drop,50.0,Lonart DS 80/480mg Tablets x6,15.0,37
41,"""024d2bfa-490e-4231-b434-b065c13fb914""",2,Cream Skineal x15g,48.0,Amatem 80/480 Softgel x6,33.0,17
42,"""024d2bfa-490e-4231-b434-b065c13fb914""",3,Visita Plus 30g Cream,48.0,M&B Paracetamol Syrup 1 X 60ml Bottle,40.0,9
43,"""024d2bfa-490e-4231-b434-b065c13fb914""",4,Gascol Suspension x150ml,48.0,Aboniki Balm,13.0,45
44,"""024d2bfa-490e-4231-b434-b065c13fb914""",5,Postpill 150mcg Tablet,48.0,De-Deon's Syrup 280ml,3.0,96
45,"""024d2bfa-490e-4231-b434-b065c13fb914""",6,Fiesta Prolong,48.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,,
46,"""024d2bfa-490e-4231-b434-b065c13fb914""",7,Tab Paracetamol (M&B) 500mg x96,45.0,Pyrantrin Tablet x6,40.0,11
47,"""024d2bfa-490e-4231-b434-b065c13fb914""",8,Emzor Paracetamol 500mg Tablets x96,41.0,Camosunate 300mg/100mg (7-13years),,
48,"""024d2bfa-490e-4231-b434-b065c13fb914""",9,M&B Paracetamol Syrup 1 X 60ml Bottle,40.0,Tab Paracetamol (M&B) 500mg x96,45.0,7
49,"""024d2bfa-490e-4231-b434-b065c13fb914""",10,Emtrim 50ml Suspension,40.0,Coartem 80/480mg Tablets x6,14.0,40
50,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",1,Bond Paracetamol 500mg Tablets x96,45.0,Asad 200ml Suspension,15.0,6
51,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",2,Tanzole 400mg Tablets,40.0,Bonababe Syrup,,
52,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",3,Asad Suspension 100ml 1x1 Bottle,37.0,Contact Cold Capsule,5.0,13
53,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",4,Tuxil D Adult 100ml Cough Syrup,24.0,Panadol Extra,1.0,29
54,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",5,Tuxil D Children Cough Syrup,18.0,Asad Suspension 100ml 1x1 Bottle,37.0,3
55,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",6,Asad 200ml Suspension,15.0,Emzolyn Cough Syrup Adult,2.0,26
56,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",7,Krisacid Tablet x100,13.0,Syringe 5ml,,
57,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",8,Diclokris 50mg Tablet,10.0,Emzolyn Cough Syrup Child,5.0,17
58,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",9,Maxiron Capsule,8.0,Avrocid 200ml Suspension,5.0,16
59,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",10,Pilex Capsule,6.0,Syringe 2ml,,
60,"""04092371-d11b-46b2-a152-c68555932b73""",1,Artemether/Lumefantrine 80/480mg Tablet x6,36.0,Ciprofloxacin (Tablet) 500mg 1 X 10 blister,30.0,2
61,"""04092371-d11b-46b2-a152-c68555932b73""",2,Ciprofloxacin (Tablet) 500mg 1 X 10 blister,30.0,Bond Paracetamol 500mg Tablets x96,28.0,3
62,"""04092371-d11b-46b2-a152-c68555932b73""",3,Bond Paracetamol 500mg Tablets x96,28.0,Danacid Tablets x96,5.0,37
63,"""04092371-d11b-46b2-a152-c68555932b73""",4,Really Xtra Tablets x10,21.0,Panadol Extra,5.0,32
64,"""04092371-d11b-46b2-a152-c68555932b73""",5,Asad Suspension 100ml 1x1 Bottle,18.0,Panda Paracetamol 15ml Drops,5.0,38
65,"""04092371-d11b-46b2-a152-c68555932b73""",6,Tab Brustan-N,16.0,Super Apeti 2 x 10 Tablets,6.0,28
66,"""04092371-d11b-46b2-a152-c68555932b73""",7,Pinnazole Omeprazole 20mg Capsules x14,15.0,Krishat Cimetidine 400mg Tablets x20,8.0,17
67,"""04092371-d11b-46b2-a152-c68555932b73""",8,Brustan-N 100mg/5ml Suspension x100ml,14.0,Tab Brustan-N,16.0,6
68,"""04092371-d11b-46b2-a152-c68555932b73""",9,Curefenac 100mg,10.0,Ibucap Cold & Flu Tablets x4,8.0,16
69,"""04092371-d11b-46b2-a152-c68555932b73""",10,Viscoplex Vitamin B Complex Injection 10ml,10.0,Bonababe Syrup,9.0,14
70,"""043278cf-ebbc-4c77-8fad-067e1fa2b738""",1,Methylated Spirit (Moko) x200ml,3.0,Lonart DS 80/480mg Tablets x6,,
71,"""043278cf-ebbc-4c77-8fad-067e1fa2b738""",2,Lonart 20/120mg 60ml Suspension,2.0,Amatem 80/480 Softgel x6,,
72,"""043278cf-ebbc-4c77-8fad-067e1fa2b738""",3,Amoksiklav Tablet 625mg x14,2.0,Panadol Extra,,
73,"""043278cf-ebbc-4c77-8fad-067e1fa2b738""",4,Flucor Day Capsules,2.0,Brustan-N 100mg/5ml Suspension x100ml,1.0,6
74,"""043278cf-ebbc-4c77-8fad-067e1fa2b738""",5,Swifen Suspension 100ml,2.0,Gestid 200ml Suspension,,
